offense_desc,latitude,longitude
MURDER & NON-NEGL. MANSLAUGHTER,40.83858121200007,-73.91311087699995
MURDER & NON-NEGL. MANSLAUGHTER,40.69414054300007,-73.85683418499997
MURDER & NON-NEGL. MANSLAUGHTER,40.821862408000065,-73.942640554
MURDER & NON-NEGL. MANSLAUGHTER,40.577674096000074,-73.98605562899996
MURDER & NON-NEGL. MANSLAUGHTER,40.66473194200007,-73.92117001499997
MURDER & NON-NEGL. MANSLAUGHTER,40.69382354100002,-73.800597338
MURDER & NON-NEGL. MANSLAUGHTER,40.577674096000074,-73.98605562899996
MURDER & NON-NEGL. MANSLAUGHTER,40.824178317000076,-73.89802295699997
MURDER & NON-NEGL. MANSLAUGHTER,40.670168236000045,-73.91572748899993
MURDER & NON-NEGL. MANSLAUGHTER,40.86565846400004,-73.89131055799999
MURDER & NON-NEGL. MANSLAUGHTER,40.683761854000075,-73.88564701099993
MURDER & NON-NEGL. MANSLAUGHTER,40.75087795600007,-73.87362501799998
MURDER & NON-NEGL. MANSLAUGHTER,40.87106112900005,-73.89248407199995
MURDER & NON-NEGL. MANSLAUGHTER,40.86858934000002,-73.86725479999996
MURDER & NON-NEGL. MANSLAUGHTER,40.670562535000045,-73.89164290099995
MURDER & NON-NEGL. MANSLAUGHTER,40.83202215400007,-73.91795806799998
MURDER & NON-NEGL. MANSLAUGHTER,40.78245186000004,-73.96587826899997
MURDER & NON-NEGL. MANSLAUGHTER,40.66961517100003,-73.90683872199997
MURDER & NON-NEGL. MANSLAUGHTER,40.67213834100005,-73.91121881499998
MURDER & NON-NEGL. MANSLAUGHTER,40.65087729100002,-73.93130224699998
MURDER & NON-NEGL. MANSLAUGHTER,40.86858934000002,-73.86725479999996
MURDER & NON-NEGL. MANSLAUGHTER,40.657236613000066,-73.90075779799997
MURDER & NON-NEGL. MANSLAUGHTER,40.69252887700002,-73.75165975699997
MURDER & NON-NEGL. MANSLAUGHTER,40.83186604400004,-73.897769064
MURDER & NON-NEGL. MANSLAUGHTER,40.84253385300008,-73.84523135199998
MURDER & NON-NEGL. MANSLAUGHTER,40.852645755000026,-73.92169917899997
MURDER & NON-NEGL. MANSLAUGHTER,40.81043801200008,-73.952837473
MURDER & NON-NEGL. MANSLAUGHTER,40.63434976900004,-73.90632950099996
MURDER & NON-NEGL. MANSLAUGHTER,40.582620261000045,-73.98629580399995
MURDER & NON-NEGL. MANSLAUGHTER,40.870355250000046,-73.90439892599994
MURDER & NON-NEGL. MANSLAUGHTER,40.675494798000045,-73.90065131699998
MURDER & NON-NEGL. MANSLAUGHTER,40.81950961800004,-73.95358253499995
MURDER & NON-NEGL. MANSLAUGHTER,40.58734650400004,-73.81304853899996
MURDER & NON-NEGL. MANSLAUGHTER,40.67059900300006,-73.87610586699996
MURDER & NON-NEGL. MANSLAUGHTER,40.69022556600004,-73.82993153599993
MURDER & NON-NEGL. MANSLAUGHTER,40.642699135000036,-74.00027889999996
MURDER & NON-NEGL. MANSLAUGHTER,40.88901729100007,-73.86420490499995
MURDER & NON-NEGL. MANSLAUGHTER,40.84416759000004,-73.91430351799994
MURDER & NON-NEGL. MANSLAUGHTER,40.870355250000046,-73.90439892599994
MURDER & NON-NEGL. MANSLAUGHTER,40.85837313300004,-73.89940208399997
MURDER & NON-NEGL. MANSLAUGHTER,40.76697408100006,-73.87701683399997
MURDER & NON-NEGL. MANSLAUGHTER,40.81052442400005,-73.93821424599997
MURDER & NON-NEGL. MANSLAUGHTER,40.86350728100007,-73.90446299999998
MURDER & NON-NEGL. MANSLAUGHTER,40.64929346200007,-73.89791186799994
MURDER & NON-NEGL. MANSLAUGHTER,40.76697408100006,-73.87701683399997
MURDER & NON-NEGL. MANSLAUGHTER,40.720813298000046,-73.97813591099998
MURDER & NON-NEGL. MANSLAUGHTER,40.76697408100006,-73.87701683399997
MURDER & NON-NEGL. MANSLAUGHTER,40.81881772000003,-73.86571743699994
MURDER & NON-NEGL. MANSLAUGHTER,40.68053615600007,-73.95708636499995
MURDER & NON-NEGL. MANSLAUGHTER,40.836559230000034,-73.91427356599996
MURDER & NON-NEGL. MANSLAUGHTER,40.65567236400005,-73.95300814899997
MURDER & NON-NEGL. MANSLAUGHTER,40.67113000200004,-73.91350205499998
MURDER & NON-NEGL. MANSLAUGHTER,40.85284199500006,-73.88417430999993
MURDER & NON-NEGL. MANSLAUGHTER,40.83509424700002,-73.90804891499994
MURDER & NON-NEGL. MANSLAUGHTER,40.90379369100003,-73.85009895999997
MURDER & NON-NEGL. MANSLAUGHTER,40.83428002400007,-73.88745536999993
MURDER & NON-NEGL. MANSLAUGHTER,40.66421620500005,-73.74903292999993
MURDER & NON-NEGL. MANSLAUGHTER,40.81254626700007,-73.90126678999997
MURDER & NON-NEGL. MANSLAUGHTER,40.59711556800004,-74.06299911599997
MURDER & NON-NEGL. MANSLAUGHTER,40.881126907000066,-73.86471645199998
MURDER & NON-NEGL. MANSLAUGHTER,40.59711556800004,-74.06299911599997
MURDER & NON-NEGL. MANSLAUGHTER,40.863121541000055,-73.92061310099997
MURDER & NON-NEGL. MANSLAUGHTER,40.83420945200004,-73.92570681899997
MURDER & NON-NEGL. MANSLAUGHTER,40.59711556800004,-74.06299911599997
MURDER & NON-NEGL. MANSLAUGHTER,40.87269771100006,-73.86219529299996
MURDER & NON-NEGL. MANSLAUGHTER,40.82944022800007,-73.94195469
MURDER & NON-NEGL. MANSLAUGHTER,40.613261573000045,-74.03450276399997
MURDER & NON-NEGL. MANSLAUGHTER,40.833154599000075,-73.90913931099993
MURDER & NON-NEGL. MANSLAUGHTER,40.82898133900005,-73.89775904099997
MURDER & NON-NEGL. MANSLAUGHTER,40.69022556600004,-73.82993153599993
MURDER & NON-NEGL. MANSLAUGHTER,40.85469355200007,-73.88580499399995
MURDER & NON-NEGL. MANSLAUGHTER,40.77485969700007,-73.93383168399998
MURDER & NON-NEGL. MANSLAUGHTER,40.85026097600007,-73.88874043199996
MURDER & NON-NEGL. MANSLAUGHTER,40.84546573700004,-73.81743743899995
MURDER & NON-NEGL. MANSLAUGHTER,40.81949793600006,-73.92180321299998
MURDER & NON-NEGL. MANSLAUGHTER,40.85026097600007,-73.88874043199996
MURDER & NON-NEGL. MANSLAUGHTER,40.81373916300004,-73.94495240499998
MURDER & NON-NEGL. MANSLAUGHTER,40.69266153900003,-73.93697840199997
MURDER & NON-NEGL. MANSLAUGHTER,40.88383423000005,-73.86098602099996
MURDER & NON-NEGL. MANSLAUGHTER,40.88710575300007,-73.86086344699999
MURDER & NON-NEGL. MANSLAUGHTER,40.86503877900003,-73.92694500099998
MURDER & NON-NEGL. MANSLAUGHTER,40.838998278000076,-73.93851306099998
MURDER & NON-NEGL. MANSLAUGHTER,40.869408631000056,-73.85042595199997
MURDER & NON-NEGL. MANSLAUGHTER,40.81389149700004,-73.91181366399996
MURDER & NON-NEGL. MANSLAUGHTER,40.825913006000064,-73.94711752799998
MURDER & NON-NEGL. MANSLAUGHTER,40.64584968500003,-73.88169405099995
MURDER & NON-NEGL. MANSLAUGHTER,40.57250098200007,-73.99909794599995
MURDER & NON-NEGL. MANSLAUGHTER,40.67520450200004,-73.94165270399996
MURDER & NON-NEGL. MANSLAUGHTER,40.810312698000075,-73.91976936899994
MURDER & NON-NEGL. MANSLAUGHTER,40.78673189800003,-73.94113246799998
MURDER & NON-NEGL. MANSLAUGHTER,40.83518158300007,-73.89463443299998
MURDER & NON-NEGL. MANSLAUGHTER,40.671246534000026,-73.86609385299994
MURDER & NON-NEGL. MANSLAUGHTER,40.682300858000076,-73.91299361299998
MURDER & NON-NEGL. MANSLAUGHTER,40.76012114600008,-73.87766840599994
MURDER & NON-NEGL. MANSLAUGHTER,40.63685091000008,-74.13912928099995
MURDER & NON-NEGL. MANSLAUGHTER,40.66649382600008,-73.88779253999998
MURDER & NON-NEGL. MANSLAUGHTER,40.66560936100007,-73.86661702199996
MURDER & NON-NEGL. MANSLAUGHTER,40.610035502000066,-73.75358735299993
MURDER & NON-NEGL. MANSLAUGHTER,40.81304536500005,-73.94626073199998
MURDER & NON-NEGL. MANSLAUGHTER,40.707447364000075,-73.79214176799998
MURDER & NON-NEGL. MANSLAUGHTER,40.74559804200004,-73.93395457699995
MURDER & NON-NEGL. MANSLAUGHTER,40.804046007,-73.936620103
MURDER & NON-NEGL. MANSLAUGHTER,40.67498697000008,-73.94584562599994
MURDER & NON-NEGL. MANSLAUGHTER,40.673997159,-73.919500742
MURDER & NON-NEGL. MANSLAUGHTER,40.88484355600008,-73.85374008999997
MURDER & NON-NEGL. MANSLAUGHTER,40.71601201200008,-73.99733202999995
MURDER & NON-NEGL. MANSLAUGHTER,40.673672626000034,-73.90767302699999
MURDER & NON-NEGL. MANSLAUGHTER,40.76654266100008,-73.99230119999999
MURDER & NON-NEGL. MANSLAUGHTER,40.61822446600007,-73.95814940099996
MURDER & NON-NEGL. MANSLAUGHTER,40.677386844000075,-73.82175515299997
MURDER & NON-NEGL. MANSLAUGHTER,40.83112915700008,-73.89037323199994
MURDER & NON-NEGL. MANSLAUGHTER,40.680048726000045,-73.77590919399995
MURDER & NON-NEGL. MANSLAUGHTER,40.82422188000004,-73.91084609299998
MURDER & NON-NEGL. MANSLAUGHTER,40.88007108800008,-73.88585904599995
MURDER & NON-NEGL. MANSLAUGHTER,40.814847198000045,-73.89908131999994
MURDER & NON-NEGL. MANSLAUGHTER,40.683189266000056,-73.91181343999993
MURDER & NON-NEGL. MANSLAUGHTER,40.84507992600004,-73.89264894999997
MURDER & NON-NEGL. MANSLAUGHTER,40.81269913700004,-73.92161973599997
MURDER & NON-NEGL. MANSLAUGHTER,40.834699370000074,-73.94249577899996
MURDER & NON-NEGL. MANSLAUGHTER,40.85708206200008,-73.90135250799993
MURDER & NON-NEGL. MANSLAUGHTER,40.70115004400003,-73.94012608099996
MURDER & NON-NEGL. MANSLAUGHTER,40.80326882400004,-73.94661899399993
MURDER & NON-NEGL. MANSLAUGHTER,40.695782146000056,-73.79066712199995
MURDER & NON-NEGL. MANSLAUGHTER,40.74987737400005,-73.86272726099996
MURDER & NON-NEGL. MANSLAUGHTER,40.81950961800004,-73.95358253499995
MURDER & NON-NEGL. MANSLAUGHTER,40.68674841800004,-73.94604160299998
MURDER & NON-NEGL. MANSLAUGHTER,40.63780446800007,-73.94237719699998
MURDER & NON-NEGL. MANSLAUGHTER,40.84664125000006,-73.91904242999993
MURDER & NON-NEGL. MANSLAUGHTER,40.86413608500004,-73.91918020999998
